artist,album,track,genre,release_year,duration_ms,popularity
Bad Bunny,DeBÍ TiRAR MáS FOToS,DtMF,reggaeton,2025,237117,98
Olivia Dean,Man I Need,Man I Need,pop soul,2025,184000,97
Fuerza Regida,MALA MÍA,COQUETA,corrido,2024,241648,90
Prince Royce,Prince Royce,Rechazame,bachata,2010,223200,79
KAROL G,Tropicoqueta,Si Antes Te Hubiera Conocido,reggaeton,2025,195824,86
Taylor Swift,The Life of a Showgirl,Opalite,unknown,2025,235355,92
Olivia Dean,The Art of Loving,So Easy (To Fall In Love),pop soul,2025,169000,97
Halsey,hopeless fountain kingdom (Deluxe Plus),Bad At Love,unknown,2017,181279,83
Princesa Alba,Convéncete,Convéncete,chilean trap,2019,216263,71
Bad Bunny,DeBÍ TiRAR MáS FOToS,NUEVAYoL,reggaeton,2025,183685,96
Addison Rae,Addison,Diet Pepsi,unknown,2025,169697,81
sombr,I Barely Know Her,back to friends,unknown,2025,199032,93
Taylor Swift,The Life of a Showgirl,The Fate of Ophelia,unknown,2025,226073,96
Bad Bunny,Un Verano Sin Ti,Tití Me Preguntó,reggaeton,2022,243716,94
Alex Warren,"You'll Be Alright, Kid (Chapter 1)",Ordinary,unknown,2024,186964,92
Bad Bunny,DeBÍ TiRAR MáS FOToS,BAILE INoLVIDABLE,reggaeton,2025,367725,96
Bad Bunny,DeBÍ TiRAR MáS FOToS,EoO,reggaeton,2025,204768,94
Justin Bieber,SWAG,DAISIES,unknown,2025,176453,93
Ravyn Lenae,Bird's Eye,Love Me Not,alternative r&b,2024,213466,91
Justin Bieber,Believe,Beauty And A Beat,unknown,2012,227986,91
sombr,I Barely Know Her,undressed,unknown,2025,182088,89
The Marías,Submarine,No One Noticed,bedroom pop,2024,236906,90
Natasha Bedingfield,Unwritten,Unwritten,unknown,2004,259333,89
Justin Bieber,My World 2.0,Baby,unknown,2010,214240,91
Zara Larsson,So Good,Lush Life,unknown,2017,200646,95
Lana Del Rey,Young And Beautiful,Young And Beautiful,unknown,2013,236053,89
Justin Bieber,Purpose (Deluxe),Sorry,unknown,2015,200786,91
Katy Perry,Teenage Dream,Last Friday Night (T.G.I.F.),pop,2010,230733,80
Billie Eilish,Ocean Eyes,ocean eyes,unknown,2016,200560,85
Gracie Abrams,The Secret of Us (Deluxe),That’s So True,unknown,2024,166300,91
Ariana Grande,eternal sunshine,we can't be friends (wait for your love),pop,2024,228639,87
Addison Rae,Diet Pepsi,Diet Pepsi,unknown,2024,169697,77
Martinwhite,AY BONITA,AY BONITA,guaracha,2025,142153,67
Austin Mahone,The Secret EP,All I Ever Need,unknown,2014,213746,71
Bad Bunny,Un Verano Sin Ti,Ojitos Lindos,reggaeton,2022,258298,87
Camilo,Por Primera Vez,Tutu,colombian pop,2020,179339,68
J Balvin,Colores,Azul,reggaeton,2020,205933,79
FloyyMenor,EL COMIENZO,Gata Only,reggaeton chileno,2024,222000,80
Ozuna,Odisea,Se Preparó,reggaeton,2017,188080,84
Shakira,El Dorado,Chantaje (feat. Maluma),latin pop,2017,195840,85
Charli xcx,how i'm feeling now,party 4 u,hyperpop,2020,296653,85
Prince Royce,Prince Royce,Corazón Sin Cara,bachata,2010,211453,78
Gracie Abrams,The Secret of Us,"I Love You, I'm Sorry",unknown,2024,157146,87
